sid,uid,episode,json字数,pdf字数,比率,連問,json先頭80字
dige,dige_ch09_q435,108F-31,376,817,46%,Y,連問 2/2次の文を読み、434 と435 の問いに答えよ。50 歳の男性。便秘と下痢とを繰り返すことを主訴に来院した。現病歴：3 週前に下痢を自覚し、その後腹
dige,dige_ch09_q437,107B-58,305,549,55%,Y,連問 1/357 歳の男性。便潜血検査で異常を指摘され精査のため来院した。現病歴：50 歳時に大腸ポリープで内視鏡的切除術を受けた。その後、特に症状を認めないた
dige,dige_ch09_q438,107B-59,324,552,58%,Y,連問 2/357 歳の男性。便潜血検査で異常を指摘され精査のため来院した。現病歴：50 歳時に大腸ポリープで内視鏡的切除術を受けた。その後、特に症状を認めないた
dige,dige_ch09_q439,107B-60,355,599,59%,Y,連問 3/357 歳の男性。便潜血検査で異常を指摘され精査のため来院した。現病歴：50 歳時に大腸ポリープで内視鏡的切除術を受けた。その後、特に症状を認めないた
dige,dige_ch11_q499,104H-31,281,530,53%,Y,連問 1/2次の文を読み、499 と500 の問いに答えよ。55 歳の男性。腹痛を主訴に来院した。現病歴：2 週前に右下腹部に違和感を覚えた。歩行すると足のつけ
dige,dige_ch11_q500,104H-32,309,534,57%,Y,連問 2/2次の文を読み、499 と500 の問いに答えよ。55 歳の男性。腹痛を主訴に来院した。現病歴：2 週前に右下腹部に違和感を覚えた。歩行すると足のつけ
neur,neur_ch01_q26,118E-45,295,803,36%,Y,連問 1/2次の文を読み、26 と27 の問いに答えよ。68 歳の男性。歩行困難を主訴に来院した。2 年前から歩き方が酔っ払っているようだと家族に指摘されている
neur,neur_ch01_q27,118E-46,312,808,38%,Y,連問 2/2次の文を読み、26 と27 の問いに答えよ。68 歳の男性。歩行困難を主訴に来院した。2 年前から歩き方が酔っ払っているようだと家族に指摘されている
neur,neur_ch02_q81,113F-81,288,797,36%,Y,連問 2/367 歳の男性。突然の嚥下困難のため救急車で搬入された。現病歴：本日、昼食中に突然、後頭部痛、めまい及び悪心を感じて嘔吐した。しばらく横になり様子を
neur,neur_ch02_q82,113F-82,318,825,38%,Y,連問 3/367 歳の男性。突然の嚥下困難のため救急車で搬入された。現病歴：本日、昼食中に突然、後頭部痛、めまい及び悪心を感じて嘔吐した。しばらく横になり様子を
neur,neur_ch02_q118,102B-57,299,670,44%,Y,連問 1/360 歳の男性。歩行困難とめまいのため搬入された。現病歴：本日の午後1 時、会議で立って発言中に突然めまいと嘔吐とが出現し、ふらふらして、まっすぐ立
neur,neur_ch02_q119,102B-58,311,670,46%,Y,連問 2/360 歳の男性。歩行困難とめまいのため搬入された。現病歴：本日の午後1 時、会議で立って発言中に突然めまいと嘔吐とが出現し、ふらふらして、まっすぐ立
neur,neur_ch02_q120,102B-59,309,668,46%,Y,連問 3/360 歳の男性。歩行困難とめまいのため搬入された。現病歴：本日の午後1 時、会議で立って発言中に突然めまいと嘔吐とが出現し、ふらふらして、まっすぐ立
neur,neur_ch02_q122,102E-61,315,610,51%,Y,連問 1/368 歳の女性。複視を主訴に来院した。現病歴：1 か月前から物が二重に見えるようになった。同じころから上の方を見上げると、右目に異物があるような感じ
neur,neur_ch02_q123,102E-62,330,635,51%,Y,連問 2/368 歳の女性。複視を主訴に来院した。現病歴：1 か月前から物が二重に見えるようになった。同じころから上の方を見上げると、右目に異物があるような感じ
neur,neur_ch02_q124,102E-63,330,614,53%,Y,連問 3/368 歳の女性。複視を主訴に来院した。現病歴：1 か月前から物が二重に見えるようになった。同じころから上の方を見上げると、右目に異物があるような感じ
neur,neur_ch02_q128,101E-22,306,724,42%,Y,連問 1/361 歳の男性。複視と歩行障害とを主訴に来院した。現病歴：今日の午前10 時頃、会議中に突然物が二重に見え、右上下肢が動かしづらいことに気付いた。様
neur,neur_ch02_q129,101E-23,323,728,44%,Y,連問 2/361 歳の男性。複視と歩行障害とを主訴に来院した。現病歴：今日の午前10 時頃、会議中に突然物が二重に見え、右上下肢が動かしづらいことに気付いた。様
neur,neur_ch02_q130,101E-24,323,729,44%,Y,連問 3/361 歳の男性。複視と歩行障害とを主訴に来院した。現病歴：今日の午前10 時頃、会議中に突然物が二重に見え、右上下肢が動かしづらいことに気付いた。様
neur,neur_ch03_q141,119B-43,310,678,45%,Y,連問 1/2次の文を読み、141 と142 の問いに答えよ。54 歳の男性。脳ドックで異常を指摘され来院した。現病歴：自覚症状はなかったが、今回初めて脳ドックを
neur,neur_ch03_q142,119B-44,308,690,44%,Y,連問 2/2次の文を読み、141 と142 の問いに答えよ。54 歳の男性。脳ドックで異常を指摘され来院した。現病歴：自覚症状はなかったが、今回初めて脳ドックを
neur,neur_ch03_q148,117F-59,77,857,8%,Y,まもなく、刺激に対する反応がなくなり、自発呼吸が停止した。頸動脈は触知できなかった。モニター心電図（A）を示す。この時点での心電図診断で正しいのはどれか。
neur,neur_ch03_q149,117F-60,328,1015,32%,Y,連問 2/356 歳の女性。強い頭痛後に、意識障害を生じたため救急車で搬入された。現病歴：自宅で家事をしていたところ、突然強い頭痛を訴えた。その後まもなく反応が
neur,neur_ch03_q150,117F-61,388,875,44%,Y,連問 3/356 歳の女性。強い頭痛後に、意識障害を生じたため救急車で搬入された。現病歴：自宅で家事をしていたところ、突然強い頭痛を訴えた。その後まもなく反応が
neur,neur_ch03_q156,112E-42,386,664,58%,Y,連問 1/2次の文を読み、156 と157 の問いに答えよ。68 歳の女性。意識障害と右上下肢の麻痺のため救急車で搬入された。現病歴：3 年前から高血圧症と心房
neur,neur_ch03_q157,112E-43,327,779,41%,Y,連問 2/2次の文を読み、156 と157 の問いに答えよ。68 歳の女性。意識障害と右上下肢の麻痺のため救急車で搬入された。現病歴：3 年前から高血圧症と心房
neur,neur_ch03_q170,118E-41,329,490,67%,Y,連問 1/2次の文を読み、170 と171 の問いに答えよ。48 歳の女性。突然の頭痛のため救急車で搬入された。現病歴：今夜8 時、食事中に突然激しい頭痛と嘔吐
neur,neur_ch03_q171,118E-42,310,468,66%,Y,連問 2/2次の文を読み、170 と171 の問いに答えよ。48 歳の女性。突然の頭痛のため救急車で搬入された。現病歴：今夜8 時、食事中に突然激しい頭痛と嘔吐
neur,neur_ch03_q189,111H-31,332,587,56%,Y,連問 1/2次の文を読み、189 と190 の問いに答えよ。76 歳の男性。左上下肢が動かなくなったため救急車で搬入された。現病歴：朝起床時に体が何となく重かっ
neur,neur_ch03_q190,111H-32,325,662,49%,Y,連問 2/2次の文を読み、189 と190 の問いに答えよ。76 歳の男性。左上下肢が動かなくなったため救急車で搬入された。現病歴：朝起床時に体が何となく重かっ
neur,neur_ch03_q204,107H-37,296,725,40%,Y,連問 1/2次の文を読み、204 と205 の問いに答えよ。55 歳の男性。仕事場で急に倒れ、意識障害のため搬入された。現病歴：家族の話では、昨晩急に頭痛を訴え
neur,neur_ch03_q205,107H-38,298,730,40%,Y,連問 2/2次の文を読み、204 と205 の問いに答えよ。55 歳の男性。仕事場で急に倒れ、意識障害のため搬入された。現病歴：家族の話では、昨晩急に頭痛を訴え
neur,neur_ch03_q218,104E-64,319,673,47%,Y,連問 1/356 歳の女性。全身けいれんと意識障害のため搬入された。現病歴：本日起床後、急に頭痛を訴え嘔吐した。1 時間くらい横になっていたが頭痛がとれないため
neur,neur_ch03_q219,104E-65,315,657,47%,Y,連問 2/356 歳の女性。全身けいれんと意識障害のため搬入された。現病歴：本日起床後、急に頭痛を訴え嘔吐した。1 時間くらい横になっていたが頭痛がとれないため
neur,neur_ch03_q220,104E-66,314,656,47%,Y,連問 3/356 歳の女性。全身けいれんと意識障害のため搬入された。現病歴：本日起床後、急に頭痛を訴え嘔吐した。1 時間くらい横になっていたが頭痛がとれないため
neur,neur_ch03_q229,103G-59,310,499,62%,Y,連問 1/362 歳の女性。言動の変化を心配した家族に伴われて来院した。現病歴：1 週前に突然頭痛が出現し持続したため、自宅で休んでいた。今朝からぼんやりして話
neur,neur_ch03_q230,103G-60,323,506,63%,Y,連問 2/362 歳の女性。言動の変化を心配した家族に伴われて来院した。現病歴：1 週前に突然頭痛が出現し持続したため、自宅で休んでいた。今朝からぼんやりして話
neur,neur_ch03_q231,103G-61,338,525,64%,Y,連問 3/362 歳の女性。言動の変化を心配した家族に伴われて来院した。現病歴：1 週前に突然頭痛が出現し持続したため、自宅で休んでいた。今朝からぼんやりして話
neur,neur_ch03_q232,102C-30,277,532,52%,Y,連問 1/2次の文を読み、232 と233 の問いに答えよ。72 歳の女性。突然の頭痛のため搬入された。現病歴：2 時間前に突然の後頭部痛と嘔気とが出現した。既
neur,neur_ch03_q233,102C-31,275,525,52%,Y,連問 2/2次の文を読み、232 と233 の問いに答えよ。72 歳の女性。突然の頭痛のため搬入された。現病歴：2 時間前に突然の後頭部痛と嘔気とが出現した。既
neur,neur_ch04_q261,110E-68,318,744,42%,Y,連問 2/328 歳の男性。墜落事故のため工事現場から救急車で搬入された。現病歴：建築作業中に誤って約3m の高さから墜落し、頭部を強打した。意識障害がみられ、
neur,neur_ch04_q262,110E-69,344,530,64%,Y,連問 3/328 歳の男性。墜落事故のため工事現場から救急車で搬入された。現病歴：建築作業中に誤って約3m の高さから墜落し、頭部を強打した。意識障害がみられ、
neur,neur_ch05_q276,119C-68,309,681,45%,Y,連問 1/375 歳の男性。転びやすさを主訴に来院した。現病歴：3 年前から、就寝中に大きな声で寝言を言ったり、手足をバタバタ動かしたりしていることに妻が気付い
neur,neur_ch05_q277,119C-69,304,663,45%,Y,連問 2/375 歳の男性。転びやすさを主訴に来院した。現病歴：3 年前から、就寝中に大きな声で寝言を言ったり、手足をバタバタ動かしたりしていることに妻が気付い
neur,neur_ch05_q278,119C-70,296,655,45%,Y,連問 3/375 歳の男性。転びやすさを主訴に来院した。現病歴：3 年前から、就寝中に大きな声で寝言を言ったり、手足をバタバタ動かしたりしていることに妻が気付い
neur,neur_ch05_q280,117F-68,64,702,9%,Y,今回、撮像したドパミントランスポーターSPECT（A）と123I-MIBG 交感神経心筋シンチグラム（B）を示す。診断はどれか。
neur,neur_ch05_q281,117F-69,331,661,50%,Y,連問 2/376 歳の女性。歩行障害を主訴に来院した。現病歴：6 年前から左上肢の動かしにくさが出現し、4 年前から歩くのが遅くなった。4 年前から自宅近くの診
neur,neur_ch05_q282,117F-70,334,682,48%,Y,連問 3/376 歳の女性。歩行障害を主訴に来院した。現病歴：6 年前から左上肢の動かしにくさが出現し、4 年前から歩くのが遅くなった。4 年前から自宅近くの診
neur,neur_ch05_q292,105B-56,312,772,40%,Y,連問 1/375 歳の男性。不穏状態のため家族に伴われて来院した。現病歴：3 年前からParkinson 病の診断で内服治療中であった。1 週前から水様下痢と微
neur,neur_ch05_q293,105B-57,326,770,42%,Y,連問 2/375 歳の男性。不穏状態のため家族に伴われて来院した。現病歴：3 年前からParkinson 病の診断で内服治療中であった。1 週前から水様下痢と微
neur,neur_ch05_q294,105B-58,320,762,41%,Y,連問 3/375 歳の男性。不穏状態のため家族に伴われて来院した。現病歴：3 年前からParkinson 病の診断で内服治療中であった。1 週前から水様下痢と微
neur,neur_ch05_q296,118C-69,306,758,40%,Y,連問 1/372 歳の女性。物忘れのため心配した夫に伴われて来院した。現病歴：1 年前から、時折、財布の中にある金額があわないと訴えることがあった。半年前から「
neur,neur_ch05_q297,118C-70,324,752,43%,Y,連問 2/372 歳の女性。物忘れのため心配した夫に伴われて来院した。現病歴：1 年前から、時折、財布の中にある金額があわないと訴えることがあった。半年前から「
neur,neur_ch05_q298,118C-71,332,790,42%,Y,連問 3/372 歳の女性。物忘れのため心配した夫に伴われて来院した。現病歴：1 年前から、時折、財布の中にある金額があわないと訴えることがあった。半年前から「
neur,neur_ch05_q303,115C-63,297,439,67%,Y,連問 1/382 歳の女性。発熱と意識障害のため救急車で搬入された。現病歴：3 日前から発熱し、食事もむせるようになった。本日朝から呼びかけへの反応が乏しくなっ
neur,neur_ch05_q306,115F-69,311,753,41%,Y,連問 1/369 歳の男性。物忘れを心配した家族に伴われて来院した。現病歴：約1 年半前から予定を忘れてしまうことが多くなった。約1 年前から、日中、呼びかけへ
neur,neur_ch05_q307,115F-70,333,761,43%,Y,連問 2/369 歳の男性。物忘れを心配した家族に伴われて来院した。現病歴：約1 年半前から予定を忘れてしまうことが多くなった。約1 年前から、日中、呼びかけへ
neur,neur_ch05_q308,115F-71,336,882,38%,Y,連問 3/369 歳の男性。物忘れを心配した家族に伴われて来院した。現病歴：約1 年半前から予定を忘れてしまうことが多くなった。約1 年前から、日中、呼びかけへ
neur,neur_ch05_q335,107E-64,290,496,58%,Y,連問 1/365 歳の男性。物忘れが目立つようになったことを心配した妻に伴われて来院した。現病歴：1 年前から物忘れが多くなったことに妻が気付いた。本人も物忘れ
neur,neur_ch05_q336,107E-65,302,841,35%,Y,連問 2/365 歳の男性。物忘れが目立つようになったことを心配した妻に伴われて来院した。現病歴：1 年前から物忘れが多くなったことに妻が気付いた。本人も物忘れ
neur,neur_ch05_q337,107E-66,301,632,47%,Y,連問 3/365 歳の男性。物忘れが目立つようになったことを心配した妻に伴われて来院した。現病歴：1 年前から物忘れが多くなったことに妻が気付いた。本人も物忘れ
neur,neur_ch06_q344,120C-61,307,998,30%,Y,連問 1/328 歳の女性。右下肢の脱力を主訴に来院した。現病歴：8 年前に左眼がかすんで見えたが、自然に軽快した。7 日前に右下肢の脱力を自覚した。5 日前か
neur,neur_ch06_q345,120C-62,335,1038,32%,Y,連問 2/328 歳の女性。右下肢の脱力を主訴に来院した。現病歴：8 年前に左眼がかすんで見えたが、自然に軽快した。7 日前に右下肢の脱力を自覚した。5 日前か
neur,neur_ch06_q346,120C-63,316,997,31%,Y,連問 3/328 歳の女性。右下肢の脱力を主訴に来院した。現病歴：8 年前に左眼がかすんで見えたが、自然に軽快した。7 日前に右下肢の脱力を自覚した。5 日前か
neur,neur_ch06_q365,116C-69,322,1048,30%,Y,連問 1/356 歳の女性。歩行困難と嚥下困難を主訴に来院した。現病歴：2 年前から左上肢の筋力低下を自覚した。1 年前から右上肢にも同様の症状を自覚するように
neur,neur_ch06_q366,116C-70,318,1035,30%,Y,連問 2/356 歳の女性。歩行困難と嚥下困難を主訴に来院した。現病歴：2 年前から左上肢の筋力低下を自覚した。1 年前から右上肢にも同様の症状を自覚するように
neur,neur_ch06_q367,116C-71,322,1037,31%,Y,連問 3/356 歳の女性。歩行困難と嚥下困難を主訴に来院した。現病歴：2 年前から左上肢の筋力低下を自覚した。1 年前から右上肢にも同様の症状を自覚するように
neur,neur_ch07_q388,114B-47,311,656,47%,Y,連問 1/2次の文を読み、388 と389 の問いに答えよ。22 歳の男性。全身の脱力のため救急車で搬入された。現病歴：3 か月前から運動時の動悸を自覚していた
neur,neur_ch07_q389,114B-48,325,675,48%,Y,連問 2/2次の文を読み、388 と389 の問いに答えよ。22 歳の男性。全身の脱力のため救急車で搬入された。現病歴：3 か月前から運動時の動悸を自覚していた
neur,neur_ch07_q394,105E-60,310,869,35%,Y,連問 1/338 歳の女性。強い息苦しさのため搬入された。現病歴：3 か月前から歩行時に両下肢の疲労感を自覚していたが、休息にて改善していた。2 か月前から家事
neur,neur_ch07_q395,105E-61,328,876,37%,Y,連問 2/338 歳の女性。強い息苦しさのため搬入された。現病歴：3 か月前から歩行時に両下肢の疲労感を自覚していたが、休息にて改善していた。2 か月前から家事
neur,neur_ch07_q396,105E-62,325,874,37%,Y,連問 3/338 歳の女性。強い息苦しさのため搬入された。現病歴：3 か月前から歩行時に両下肢の疲労感を自覚していたが、休息にて改善していた。2 か月前から家事
neur,neur_ch07_q412,108B-59,304,850,35%,Y,連問 1/322 歳の男性。全身の筋力低下のため搬入された。現病歴：5 日前に下痢と悪心とがあった。昨日の起床時に歯ブラシをしっかり握れず、朝食時には箸を使えな
neur,neur_ch07_q413,108B-60,331,974,33%,Y,連問 2/322 歳の男性。全身の筋力低下のため搬入された。現病歴：5 日前に下痢と悪心とがあった。昨日の起床時に歯ブラシをしっかり握れず、朝食時には箸を使えな
neur,neur_ch07_q414,108B-61,322,853,37%,Y,連問 3/322 歳の男性。全身の筋力低下のため搬入された。現病歴：5 日前に下痢と悪心とがあった。昨日の起床時に歯ブラシをしっかり握れず、朝食時には箸を使えな
neur,neur_ch07_q425,101E-4,303,558,54%,Y,連問 1/372 歳の男性。眼瞼下垂、複視および易疲労性を主訴に来院した。現病歴 ：2 か月前から疲れやすさを自覚し、眼瞼が下がり、物が二重に見えるようになった
neur,neur_ch07_q426,101E-5,310,560,55%,Y,連問 2/372 歳の男性。眼瞼下垂、複視および易疲労性を主訴に来院した。現病歴 ：2 か月前から疲れやすさを自覚し、眼瞼が下がり、物が二重に見えるようになった
neur,neur_ch07_q427,101E-6,336,607,55%,Y,連問 3/372 歳の男性。眼瞼下垂、複視および易疲労性を主訴に来院した。現病歴 ：2 か月前から疲れやすさを自覚し、眼瞼が下がり、物が二重に見えるようになった
neur,neur_ch08_q462,117E-50,333,820,40%,Y,連問 2/2次の文を読み、461 と462 の問いに答えよ。47 歳の男性。頭痛と発熱を主訴に来院した。現病歴：3 日前から微熱と全身倦怠感を自覚した。昨日から
neur,neur_ch08_q483,103C-26,302,584,51%,Y,連問 1/2次の文を読み、483 と484 の問いに答えよ。54 歳の男性。意識障害のため搬入された。現病歴：4 日前から感冒様症状があり、発熱と頭痛とが持続し
neur,neur_ch08_q484,103C-27,317,586,54%,Y,連問 2/2次の文を読み、483 と484 の問いに答えよ。54 歳の男性。意識障害のため搬入された。現病歴：4 日前から感冒様症状があり、発熱と頭痛とが持続し
neur,neur_ch09_q505,115B-43,488,779,62%,Y,連問 1/2次の文を読み、505 と506 の問いに答えよ。36 歳の女性。頭痛を主訴に来院した。現病歴：本日午前7 時頃から視界にきらきらした点が現れ、その後
neur,neur_ch09_q506,115B-44,318,597,53%,Y,連問 2/2次の文を読み、505 と506 の問いに答えよ。36 歳の女性。頭痛を主訴に来院した。現病歴：本日午前7 時頃から視界にきらきらした点が現れ、その後
neur,neur_ch10_q537,105C-28,320,533,60%,Y,連問 1/2次の文を読み、537 と538 の問いに答えよ。19 歳の女性。交通事故で受傷したため搬入された。現病歴：軽乗用車を運転中に電柱に衝突した。事故から
neur,neur_ch10_q538,105C-29,326,531,61%,Y,連問 2/2次の文を読み、537 と538 の問いに答えよ。19 歳の女性。交通事故で受傷したため搬入された。現病歴：軽乗用車を運転中に電柱に衝突した。事故から
neur,neur_ch10_q540,118B-43,311,492,63%,Y,連問 1/2次の文を読み、540 と541 の問いに答えよ。70 歳の男性。自転車で転倒したため救急車で搬入された。現病歴：自転車で走行中に転倒し、右側頭部を打
neur,neur_ch10_q541,118B-44,322,501,64%,Y,連問 2/2次の文を読み、540 と541 の問いに答えよ。70 歳の男性。自転車で転倒したため救急車で搬入された。現病歴：自転車で走行中に転倒し、右側頭部を打
jinzo_d,jinzo_d_ch01_q11,115C-69,363,883,41%,Y,連問 1/378 歳の女性。胸部不快感を主訴に来院した。現病歴：2 週前から労作時に胸部の不快感を自覚するようになり受診した。既往歴：61歳時に糖尿病、65歳時
jinzo_d,jinzo_d_ch01_q12,115C-70,351,878,39%,Y,連問 2/378 歳の女性。胸部不快感を主訴に来院した。現病歴：2 週前から労作時に胸部の不快感を自覚するようになり受診した。既往歴：61歳時に糖尿病、65歳時
jinzo_d,jinzo_d_ch01_q13,115C-71,338,839,40%,Y,連問 3/378 歳の女性。胸部不快感を主訴に来院した。現病歴：2 週前から労作時に胸部の不快感を自覚するようになり受診した。既往歴：61歳時に糖尿病、65歳時
jinzo_d,jinzo_d_ch01_q21,106I-80,146,217,67%,,高尿酸血症患者の検査結果を示す。尿所見：pH 5.5、クレアチニン80mg/dl、尿酸34mg/dl。血液生化学所見：クレアチニン1.0mg/dl、尿酸8.0m
jinzo_d,jinzo_d_ch02_q49,120F-67,312,860,36%,Y,連問 1/365 歳の女性。全身倦怠感と息切れを主訴に来院した。現病歴：IgA 腎症による慢性腎臓病と高血圧症で通院していたが、約3 か月前から仕事（週5 日の
jinzo_d,jinzo_d_ch02_q50,120F-68,383,931,41%,Y,連問 2/365 歳の女性。全身倦怠感と息切れを主訴に来院した。現病歴：IgA 腎症による慢性腎臓病と高血圧症で通院していたが、約3 か月前から仕事（週5 日の
jinzo_d,jinzo_d_ch02_q51,120F-69,340,969,35%,Y,連問 3/365 歳の女性。全身倦怠感と息切れを主訴に来院した。現病歴：IgA 腎症による慢性腎臓病と高血圧症で通院していたが、約3 か月前から仕事（週5 日の
jinzo_d,jinzo_d_ch03_q77,119C-71,358,1056,33%,Y,連問 1/385 歳の女性。悪心を主訴に来院した。現病歴：3 日前から悪心があり、症状が悪化したため息子に付き添われて来院した。自宅近くの診療所にて、10 年前
jinzo_d,jinzo_d_ch03_q78,119C-72,327,1001,32%,Y,連問 2/385 歳の女性。悪心を主訴に来院した。現病歴：3 日前から悪心があり、症状が悪化したため息子に付き添われて来院した。自宅近くの診療所にて、10 年前
jinzo_d,jinzo_d_ch03_q79,119C-73,328,1002,32%,Y,連問 3/385 歳の女性。悪心を主訴に来院した。現病歴：3 日前から悪心があり、症状が悪化したため息子に付き添われて来院した。自宅近くの診療所にて、10 年前
jinzo_d,jinzo_d_ch03_q100,118B-49,318,719,44%,Y,連問 1/2次の文を読み、100 と101 の問いに答えよ。78 歳の女性。食欲不振のため救急車で搬入された。現病歴：約1 週間前から食事摂取が減少し一日中ベッ
jinzo_d,jinzo_d_ch03_q101,118B-50,325,713,45%,Y,連問 2/2次の文を読み、100 と101 の問いに答えよ。78 歳の女性。食欲不振のため救急車で搬入された。現病歴：約1 週間前から食事摂取が減少し一日中ベッ
jinzo_d,jinzo_d_ch03_q104,116C-66,305,669,45%,Y,連問 1/373 歳の男性。ふらつきを主訴に来院した。現病歴：3 日前に重い荷物を持ち上げた時に腰痛が出現し、自宅近くの診療所でNSAID の処方を受けた。早期
jinzo_d,jinzo_d_ch03_q105,116C-67,317,670,47%,Y,連問 2/373 歳の男性。ふらつきを主訴に来院した。現病歴：3 日前に重い荷物を持ち上げた時に腰痛が出現し、自宅近くの診療所でNSAID の処方を受けた。早期
jinzo_d,jinzo_d_ch03_q106,116C-68,327,681,48%,Y,連問 3/373 歳の男性。ふらつきを主訴に来院した。現病歴：3 日前に重い荷物を持ち上げた時に腰痛が出現し、自宅近くの診療所でNSAID の処方を受けた。早期
jinzo_d,jinzo_d_ch03_q107,114C-72,334,835,40%,Y,連問 1/376 歳の女性。全身倦怠感と食欲不振を主訴に来院した。現病歴：65 歳時に高血圧症および骨粗鬆症と診断され、かかりつけ医にて内服加療を受けていた。2
jinzo_d,jinzo_d_ch03_q108,114C-73,350,932,37%,Y,連問 2/376 歳の女性。全身倦怠感と食欲不振を主訴に来院した。現病歴：65 歳時に高血圧症および骨粗鬆症と診断され、かかりつけ医にて内服加療を受けていた。2
jinzo_d,jinzo_d_ch03_q109,114C-74,344,825,41%,Y,連問 3/376 歳の女性。全身倦怠感と食欲不振を主訴に来院した。現病歴：65 歳時に高血圧症および骨粗鬆症と診断され、かかりつけ医にて内服加療を受けていた。2
jinzo_d,jinzo_d_ch03_q122,110C-26,303,851,35%,Y,連問 1/2次の文を読み、122 と123 の問いに答えよ。78 歳の女性。食欲不振と軽度の全身倦怠感とを主訴に紹介されて来院した。現病歴：4 週前に自宅で転倒
jinzo_d,jinzo_d_ch03_q123,110C-27,310,843,36%,Y,連問 2/2次の文を読み、122 と123 の問いに答えよ。78 歳の女性。食欲不振と軽度の全身倦怠感とを主訴に紹介されて来院した。現病歴：4 週前に自宅で転倒
jinzo_d,jinzo_d_ch03_q129,109G-61,311,754,41%,Y,連問 1/372 才の男性。全身倦怠感を主訴に来院した。現病歴：7 日前に自宅を出たところでつまずいて転倒し、腰痛が生じたため自宅近くの診療所にて鎮痛薬を処方さ
jinzo_d,jinzo_d_ch03_q130,109G-62,320,752,42%,Y,連問 2/372 才の男性。全身倦怠感を主訴に来院した。現病歴：7 日前に自宅を出たところでつまずいて転倒し、腰痛が生じたため自宅近くの診療所にて鎮痛薬を処方さ
jinzo_d,jinzo_d_ch03_q131,109G-63,349,776,44%,Y,連問 3/372 才の男性。全身倦怠感を主訴に来院した。現病歴：7 日前に自宅を出たところでつまずいて転倒し、腰痛が生じたため自宅近くの診療所にて鎮痛薬を処方さ
jinzo_d,jinzo_d_ch03_q132,109H-35,328,503,65%,Y,連問 1/2次の文を読み、132 と133 の問いに答えよ。27 歳の女性。全身倦怠感と嘔吐とを主訴に来院した。現病歴：夏の暑い日にジョギングをした。走り終わっ
jinzo_d,jinzo_d_ch03_q133,109H-36,325,530,61%,Y,連問 2/2次の文を読み、132 と133 の問いに答えよ。27 歳の女性。全身倦怠感と嘔吐とを主訴に来院した。現病歴：夏の暑い日にジョギングをした。走り終わっ
jinzo_d,jinzo_d_ch03_q139,107H-31,314,631,49%,Y,連問 1/2次の文を読み、139 と140 の問いに答えよ。82 歳の女性。意味不明な言動を心配した家族に伴われて来院した。現病歴：1 週前までは特に変わった様
jinzo_d,jinzo_d_ch03_q140,107H-32,322,623,51%,Y,連問 2/2次の文を読み、139 と140 の問いに答えよ。82 歳の女性。意味不明な言動を心配した家族に伴われて来院した。現病歴：1 週前までは特に変わった様
jinzo_d,jinzo_d_ch04_q179,101D-43,313,557,56%,Y,連問 1/2次の文を読み、179 と180 の問いに答えよ。60 歳の女性。健康診査で高血圧を指摘されて来院した。現病歴：1 か月前に健康診査を受けたところ、血
jinzo_d,jinzo_d_ch04_q180,101D-44,331,555,59%,Y,連問 2/2次の文を読み、179 と180 の問いに答えよ。60 歳の女性。健康診査で高血圧を指摘されて来院した。現病歴：1 か月前に健康診査を受けたところ、血
jinzo_d,jinzo_d_ch04_q183,98C-25,295,530,55%,Y,連問 1/364 歳の女性。労作時呼吸困難と下腿の浮腫とを主訴に来院した。現病歴：20 年前から蛋白尿を指摘され、その時の腎生検でIgA腎症と診断された。近医で
jinzo_d,jinzo_d_ch04_q184,98C-26,304,533,57%,Y,連問 2/364 歳の女性。労作時呼吸困難と下腿の浮腫とを主訴に来院した。現病歴：20 年前から蛋白尿を指摘され、その時の腎生検でIgA腎症と診断された。近医で
jinzo_d,jinzo_d_ch04_q185,98C-27,329,533,61%,Y,連問 3/364 歳の女性。労作時呼吸困難と下腿の浮腫とを主訴に来院した。現病歴：20 年前から蛋白尿を指摘され、その時の腎生検でIgA腎症と診断された。近医で
hema,hema_ch03_q87,117B-48,310,707,43%,Y,連問 2/2次の文を読み、86 と87 の問いに答えよ。39 歳の女性。動悸と息切れを主訴に来院した。現病歴：半年前から月経量が増え、3 か月前から階段昇降時に
hema,hema_ch03_q96,106E-64,280,585,47%,Y,連問 1/322 歳の女性。運動時の疲労感と「理由もなく氷が食べたくなる」ことを主訴に受診した。現病歴：受診3 か月前の1 月から、運動時の疲労感が強いことを自
hema,hema_ch03_q97,106E-65,305,588,51%,Y,連問 2/322 歳の女性。運動時の疲労感と「理由もなく氷が食べたくなる」ことを主訴に受診した。現病歴：受診3 か月前の1 月から、運動時の疲労感が強いことを自
hema,hema_ch03_q98,106E-66,287,608,47%,Y,連問 3/322 歳の女性。運動時の疲労感と「理由もなく氷が食べたくなる」ことを主訴に受診した。現病歴：受診3 か月前の1 月から、運動時の疲労感が強いことを自
hema,hema_ch06_q256,98C-4,324,823,39%,Y,連問 1/366 歳の男性。全身倦怠感と腹部膨満とを訴えて来院した。現病歴：1 年前の健康診断で貧血を指摘されたが放置していた。3 か月前から徐々に倦怠感が増強
hema,hema_ch06_q257,98C-5,335,820,40%,Y,連問 2/366 歳の男性。全身倦怠感と腹部膨満とを訴えて来院した。現病歴：1 年前の健康診断で貧血を指摘されたが放置していた。3 か月前から徐々に倦怠感が増強
